With filtering out non-convergence results
(10, 'hilbert')
1:  {'name': 'bcgs with lmvm', 'time': 2.0742416381835938e-05, 'residual_norm': 26.93609371737897, 'num_of_iterations': 0}
1:  {'name': 'bcgs with lmvm', 'time': 2.47955322265625e-05, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
2:  {'name': 'bcgsl with lmvm', 'time': 2.4318695068359375e-05, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
3:  {'name': 'cg with lmvm', 'time': 2.765655517578125e-05, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
4:  {'name': 'cgne with asm', 'time': 0.022089719772338867, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
5:  {'name': 'cgne with bjacobi', 'time': 0.021954059600830078, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
6:  {'name': 'cgne with cholesky', 'time': 0.00029277801513671875, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
7:  {'name': 'cgne with gasm', 'time': 0.022160053253173828, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
8:  {'name': 'cgne with hypre', 'time': 0.0007474422454833984, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
9:  {'name': 'cgne with ilu', 'time': 0.00033211708068847656, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
10:  {'name': 'cgne with ksp', 'time': 0.00032520294189453125, 'residual_norm': 128.38126923258187, 'num_of_iterations': 0}
(500, 'hilbert')
1:  {'name': 'bcgs with lmvm', 'time': 2.5510787963867188e-05, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
2:  {'name': 'bcgsl with lmvm', 'time': 2.574920654296875e-05, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
3:  {'name': 'cg with lmvm', 'time': 2.9087066650390625e-05, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
4:  {'name': 'cgne with asm', 'time': 0.17101526260375977, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
5:  {'name': 'cgne with bjacobi', 'time': 0.17076945304870605, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
6:  {'name': 'cgne with cholesky', 'time': 0.0010826587677001953, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
7:  {'name': 'cgne with gasm', 'time': 0.16163253784179688, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
8:  {'name': 'cgne with hypre', 'time': 0.003128528594970703, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
9:  {'name': 'cgne with ilu', 'time': 0.0013005733489990234, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
10:  {'name': 'cgne with ksp', 'time': 0.0011463165283203125, 'residual_norm': 182.25907826273954, 'num_of_iterations': 0}
(100, 'hilbert')
1:  {'name': 'bcgs with lmvm', 'time': 2.2172927856445312e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
2:  {'name': 'bcgsl with lmvm', 'time': 2.193450927734375e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
3:  {'name': 'cg with lmvm', 'time': 2.4557113647460938e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
4:  {'name': 'cgne with asm', 'time': 0.001779317855834961, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
5:  {'name': 'cgne with bjacobi', 'time': 0.0017490386962890625, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
6:  {'name': 'cgne with cholesky', 'time': 6.866455078125e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
7:  {'name': 'cgne with gasm', 'time': 0.0017879009246826172, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
8:  {'name': 'cgne with hypre', 'time': 0.000164031982421875, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
9:  {'name': 'cgne with ilu', 'time': 8.20159912109375e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
10:  {'name': 'cgne with ksp', 'time': 8.559226989746094e-05, 'residual_norm': 77.83152971448848, 'num_of_iterations': 0}
